MAKE,MODEL,Model Year,Overall Length,Overall Width,Overall Height,Wheelbase,Curb Weight,Front End Length,Rear End Length,Side Glass Height,Body Side Height,Roof Width,Front Overhang,Rear Overhang,Track Width Front,Track Width Rear,Weight Distribution,Front Weight %,Rear Weight %
FIAT,124SPIDER2DRCONVERTIBLE,16,407.0,173.0,124.0,231.0,1114.0,155.0,79.0,31.0,67.0,116.0,85.0,91.0,152.0,150.0,54/46,54.0,46.0
RAMTRUCKS,1500CREWCAB57FTBOX2WD,18,592.0,208.0,197.0,367.0,2255.0,130.0,321.0,45.0,97.0,140.0,101.0,124.0,174.0,173.0,57/43,57.0,43.0
RAMTRUCKS,1500CREWCAB57FTBOX2WD,18,592.0,202.0,197.0,367.0,2255.0,130.0,321.0,45.0,97.0,140.0,101.0,124.0,174.0,173.0,57/43,57.0,43.0
RAMTRUCKS,1500CREWCAB57FTBOX4X4,18,592.0,208.0,197.0,367.0,2327.0,130.0,321.0,45.0,97.0,140.0,101.0,124.0,174.0,173.0,57/43,57.0,43.0
RAMTRUCKS,1500CREWCAB57FTBOX4X4,18,592.0,202.0,197.0,367.0,2327.0,130.0,321.0,45.0,97.0,140.0,101.0,124.0,174.0,173.0,57/43,57.0,43.0
RAMTRUCKS,1500CREWCAB64FTBOX2WD,18,615.0,208.0,197.0,390.0,2277.0,130.0,344.0,45.0,97.0,140.0,101.0,124.0,174.0,173.0,57/43,57.0,43.0
RAMTRUCKS,1500CREWCAB64FTBOX2WD,18,615.0,202.0,197.0,390.0,2277.0,130.0,344.0,45.0,97.0,140.0,101.0,124.0,174.0,173.0,57/43,57.0,43.0
RAMTRUCKS,1500CREWCAB64FTBOX4X4,18,615.0,208.0,197.0,390.0,2373.0,130.0,344.0,45.0,97.0,140.0,101.0,124.0,174.0,173.0,57/43,57.0,43.0
RAMTRUCKS,1500CREWCAB64FTBOX4X4,18,615.0,202.0,197.0,390.0,2373.0,130.0,344.0,45.0,97.0,140.0,101.0,124.0,174.0,173.0,57/43,57.0,43.0
CHEVROLET,1500EXPRESSCARGOVANSWB,3,569.0,202.0,207.0,343.0,2231.0,91.0,291.0,54.0,99.0,146.0,101.0,124.0,173.0,172.0,53/47,53.0,47.0
CHEVROLET,1500EXPRESSCARGOVANSWB,3,569.0,202.0,207.0,343.0,2198.0,91.0,291.0,54.0,99.0,146.0,101.0,124.0,173.0,172.0,53/47,53.0,47.0
CHEVROLET,1500EXPRESSCARGOVANSWBAWD,3,569.0,202.0,207.0,343.0,2367.0,91.0,291.0,54.0,99.0,146.0,101.0,124.0,173.0,172.0,53/47,53.0,47.0
CHEVROLET,1500EXPRESSPASSENGERVANSWB,3,569.0,202.0,207.0,343.0,2494.0,91.0,291.0,54.0,99.0,146.0,101.0,124.0,173.0,172.0,53/47,53.0,47.0
CHEVROLET,1500EXPRESSPASSENGERVANSWB,3,569.0,202.0,207.0,343.0,2358.0,91.0,291.0,54.0,99.0,146.0,101.0,124.0,173.0,172.0,53/47,53.0,47.0
CHEVROLET,1500EXPRESSPASSENGERVANSWBAWD,3,569.0,202.0,207.0,343.0,2367.0,91.0,291.0,54.0,99.0,146.0,101.0,124.0,173.0,172.0,53/47,53.0,47.0
RAMTRUCKS,1500QUADCAB64FTBOX2WD,18,582.0,208.0,197.0,357.0,2177.0,130.0,311.0,45.0,97.0,140.0,101.0,124.0,174.0,173.0,57/43,57.0,43.0
RAMTRUCKS,1500QUADCAB64FTBOX2WD,18,582.0,202.0,197.0,357.0,2177.0,130.0,311.0,45.0,97.0,140.0,101.0,124.0,174.0,173.0,57/43,57.0,43.0
RAMTRUCKS,1500QUADCAB64FTBOX4X4,18,582.0,208.0,197.0,357.0,2308.0,130.0,311.0,45.0,97.0,140.0,101.0,124.0,174.0,173.0,57/43,57.0,43.0
RAMTRUCKS,1500QUADCAB64FTBOX4X4,18,582.0,202.0,197.0,357.0,2308.0,130.0,311.0,45.0,97.0,140.0,101.0,124.0,174.0,173.0,57/43,57.0,43.0
GMC,1500SAVANACARGOVANSWB,3,569.0,202.0,207.0,343.0,2231.0,91.0,291.0,54.0,99.0,146.0,101.0,124.0,173.0,172.0,53/47,53.0,47.0
GMC,1500SAVANACARGOVANSWB,3,569.0,202.0,207.0,343.0,2198.0,91.0,291.0,54.0,99.0,146.0,101.0,124.0,173.0,172.0,53/47,53.0,47.0
GMC,1500SAVANACARGOVANSWBAWD,3,569.0,202.0,207.0,343.0,2367.0,91.0,291.0,54.0,99.0,146.0,101.0,124.0,173.0,172.0,53/47,53.0,47.0
GMC,1500SAVANAPASSENGERVANSWB,3,569.0,202.0,207.0,343.0,2494.0,91.0,291.0,54.0,99.0,146.0,101.0,124.0,173.0,172.0,53/47,53.0,47.0
GMC,1500SAVANAPASSENGERVANSWB,3,569.0,202.0,207.0,343.0,2358.0,91.0,291.0,54.0,99.0,146.0,101.0,124.0,173.0,172.0,53/47,53.0,47.0
GMC,1500SAVANAPASSENGERVANSWBAWD,3,569.0,202.0,207.0,343.0,2367.0,91.0,291.0,54.0,99.0,146.0,101.0,124.0,173.0,172.0,53/47,53.0,47.0
BMW,1SERIES128I2DRCOUPERWD,8,437.0,175.0,141.0,266.0,1478.0,124.0,50.0,35.0,80.0,107.0,77.0,96.0,146.0,148.0,52/48,52.0,48.0
BMW,1SERIES128I2DRCOUPERWD,8,437.0,175.0,141.0,266.0,1455.0,124.0,50.0,35.0,80.0,107.0,77.0,96.0,146.0,148.0,52/48,52.0,48.0
BMW,1SERIES135I2DRCOUPERWD,8,437.0,175.0,141.0,266.0,1530.0,124.0,50.0,35.0,80.0,107.0,77.0,96.0,146.0,148.0,52/48,52.0,48.0
BMW,1SERIES135I2DRCOUPERWD,8,437.0,175.0,141.0,266.0,1533.0,124.0,50.0,35.0,80.0,107.0,77.0,96.0,146.0,148.0,52/48,52.0,48.0
BMW,1SERIESMCOUPE2DRCOUPE,11,438.0,180.0,142.0,266.0,1525.0,131.0,54.0,35.0,81.0,105.0,77.0,95.0,154.0,154.0,50/50,50.0,50.0
