MODEL,MAKE,Model Year,Overall Length,Overall Width,Overall Height,Wheelbase,Curb Weight,Front End Length,Rear End Length,Side Glass Height,Body Side Height,Roof Width,Front Overhang,Rear Overhang,Track Width Front,Track Width Rear,Front Weight %,Rear Weight %
124SPIDER2DRCONVERTIBLE,FIAT,16,407.0,173.0,124.0,231.0,1114.0,155.0,79.0,31.0,67.0,116.0,85.0,91.0,152.0,150.0,54.0,46.0
1500CREWCAB57FTBOX2WD,RAMTRUCKS,18,592.0,208.0,197.0,367.0,2255.0,130.0,321.0,45.0,97.0,140.0,101.0,124.0,174.0,173.0,57.0,43.0
1500CREWCAB57FTBOX4X4,RAMTRUCKS,18,592.0,208.0,197.0,367.0,2327.0,130.0,321.0,45.0,97.0,140.0,101.0,124.0,174.0,173.0,57.0,43.0
1500CREWCAB64FTBOX2WD,RAMTRUCKS,18,615.0,208.0,197.0,390.0,2277.0,130.0,344.0,45.0,97.0,140.0,101.0,124.0,174.0,173.0,57.0,43.0
1500CREWCAB64FTBOX4X4,RAMTRUCKS,18,615.0,208.0,197.0,390.0,2373.0,130.0,344.0,45.0,97.0,140.0,101.0,124.0,174.0,173.0,57.0,43.0
1500EXPRESSCARGOVANSWB,CHEVROLET,3,569.0,202.0,207.0,343.0,2231.0,91.0,291.0,54.0,99.0,146.0,101.0,124.0,173.0,172.0,53.0,47.0
1500EXPRESSCARGOVANSWBAWD,CHEVROLET,3,569.0,202.0,207.0,343.0,2367.0,91.0,291.0,54.0,99.0,146.0,101.0,124.0,173.0,172.0,53.0,47.0
1500EXPRESSPASSENGERVANSWB,CHEVROLET,3,569.0,202.0,207.0,343.0,2494.0,91.0,291.0,54.0,99.0,146.0,101.0,124.0,173.0,172.0,53.0,47.0
1500EXPRESSPASSENGERVANSWBAWD,CHEVROLET,3,569.0,202.0,207.0,343.0,2367.0,91.0,291.0,54.0,99.0,146.0,101.0,124.0,173.0,172.0,53.0,47.0
1500QUADCAB64FTBOX2WD,RAMTRUCKS,18,582.0,208.0,197.0,357.0,2177.0,130.0,311.0,45.0,97.0,140.0,101.0,124.0,174.0,173.0,57.0,43.0
1500QUADCAB64FTBOX4X4,RAMTRUCKS,18,582.0,208.0,197.0,357.0,2308.0,130.0,311.0,45.0,97.0,140.0,101.0,124.0,174.0,173.0,57.0,43.0
1500SAVANACARGOVANSWB,GMC,3,569.0,202.0,207.0,343.0,2231.0,91.0,291.0,54.0,99.0,146.0,101.0,124.0,173.0,172.0,53.0,47.0
1500SAVANACARGOVANSWBAWD,GMC,3,569.0,202.0,207.0,343.0,2367.0,91.0,291.0,54.0,99.0,146.0,101.0,124.0,173.0,172.0,53.0,47.0
1500SAVANAPASSENGERVANSWB,GMC,3,569.0,202.0,207.0,343.0,2494.0,91.0,291.0,54.0,99.0,146.0,101.0,124.0,173.0,172.0,53.0,47.0
1500SAVANAPASSENGERVANSWBAWD,GMC,3,569.0,202.0,207.0,343.0,2367.0,91.0,291.0,54.0,99.0,146.0,101.0,124.0,173.0,172.0,53.0,47.0
1SERIES128I2DRCOUPERWD,BMW,8,437.0,175.0,141.0,266.0,1478.0,124.0,50.0,35.0,80.0,107.0,77.0,96.0,146.0,148.0,52.0,48.0
1SERIES135I2DRCOUPERWD,BMW,8,437.0,175.0,141.0,266.0,1533.0,124.0,50.0,35.0,80.0,107.0,77.0,96.0,146.0,148.0,52.0,48.0
