loss_history,weight_history
0.03340892,"[-0.1499946  -0.17224216 -0.03057308 ... -0.15970075 -0.08036328
  0.01992832]"
0.31950322,"[-0.14926082 -0.17152207 -0.02984439 ... -0.15896808 -0.07963233
  0.02065504]"
0.051303945,"[-0.14863674 -0.17081535 -0.02915936 ... -0.15830593 -0.07895748
  0.02135153]"
0.097387284,"[-0.14844146 -0.17054737 -0.02882242 ... -0.15793869 -0.07861989
  0.02162463]"
0.18520157,"[-0.14862315 -0.17064624 -0.02878931 ... -0.1578335  -0.07858475
  0.0215223 ]"
0.1378821,"[-0.14898819 -0.17091633 -0.02893736 ... -0.15789513 -0.07872837
  0.02122741]"
0.06360389,"[-0.14941949 -0.1712235  -0.0291629  ... -0.15803622 -0.07894493
  0.0208689 ]"
0.03695106,"[-0.14982325 -0.1714687  -0.02937052 ... -0.15817364 -0.07913705
  0.02055433]"
0.059791483,"[-0.15007715 -0.17157862 -0.02949256 ... -0.15823296 -0.0792201
  0.02036733]"
0.092107594,"[-0.15008992 -0.17153476 -0.02950175 ... -0.15817589 -0.07915581
  0.02033894]"
0.099783175,"[-0.14989124 -0.17136946 -0.02940886 ... -0.1580118  -0.07896077
  0.02044961]"
0.08087409,"[-0.14956523 -0.17112017 -0.02924643 ... -0.15777887 -0.07867987
  0.02065553]"
0.054545168,"[-0.14917816 -0.17083105 -0.02905731 ... -0.15752369 -0.07836632
  0.02090507]"
0.0399031,"[-0.14879923 -0.17054662 -0.02888252 ... -0.15728949 -0.07807286
  0.02114497]"
0.04330724,"[-0.14847882 -0.17030935 -0.0287543  ... -0.15710844 -0.07784357
  0.02132723]"
0.05702048,"[-0.14824234 -0.17014843 -0.02869215 ... -0.15699746 -0.07770497
  0.02141997]"
0.06730228,"[-0.148096   -0.17007254 -0.02870276 ... -0.15695883 -0.07766276
  0.02141474]"
0.06589804,"[-0.14802425 -0.1700724  -0.02877644 ... -0.15698324 -0.07770491
  0.02132452]"
0.055072043,"[-0.14800726 -0.1701279  -0.0288934  ... -0.15705295 -0.07780723
  0.02117658]"
0.04344709,"[-0.14801942 -0.17020929 -0.0290319  ... -0.15714444 -0.07793798
  0.02100558]"
0.03844792,"[-0.14803095 -0.17028335 -0.02916399 ... -0.15723145 -0.07806229
  0.02084776]"
0.041456416,"[-0.14801103 -0.17032368 -0.02926748 ... -0.15728946 -0.07814793
  0.02073438]"
0.047999587,"[-0.14793848 -0.17031434 -0.0293274  ... -0.15730172 -0.07817288
  0.02068524]"
0.051948942,"[-0.14781293 -0.170251   -0.0293397  ... -0.15726395 -0.07813096
  0.02070493]"
0.050157726,"[-0.1476454  -0.17014104 -0.02931139 ... -0.15718481 -0.07803217
  0.02078336]"
0.04428419,"[-0.14745541 -0.16999644 -0.02925835 ... -0.15708235 -0.07789844
  0.02089955]"
0.038783245,"[-0.14726445 -0.16984344 -0.02920043 ... -0.15697837 -0.07775755
  0.02102638]"
0.037178416,"[-0.14709783 -0.1697115  -0.02915865 ... -0.1568929  -0.07763682
  0.02113614]"
0.03954739,"[-0.14697708 -0.1696232  -0.0291529  ... -0.15684015 -0.0775574
  0.0212063 ]"
0.042920418,"[-0.14691125 -0.16958973 -0.02919083 ... -0.15682666 -0.07753036
  0.02122449]"
0.043989748,"[-0.14690137 -0.16961055 -0.02926612 ... -0.156851   -0.07755525
  0.02119086]"
0.041833185,"[-0.14693722 -0.16967441 -0.02937035 ... -0.15690479 -0.07762121
  0.02111713]"
0.03833762,"[-0.14700061 -0.16976005 -0.02948911 ... -0.15697458 -0.07770965
  0.02102316]"
0.036229063,"[-0.1470698  -0.16984351 -0.0296052  ... -0.15704444 -0.0777982
  0.02093215]"
0.03669895,"[-0.14712112 -0.16990374 -0.02970114 ... -0.15709913 -0.07786556
  0.0208653 ]"
0.038608734,"[-0.1471451  -0.1699256  -0.0297662  ... -0.15712786 -0.07789672
  0.02083678]"
0.039777666,"[-0.14713985 -0.1699048  -0.0297959  ... -0.15712725 -0.07788698
  0.02085046]"
0.039017193,"[-0.14710832 -0.16984978 -0.02979629 ... -0.15710196 -0.07784268
  0.02089961]"
0.037051465,"[-0.14706148 -0.16977775 -0.02977975 ... -0.15706277 -0.07777876
  0.02096921]"
0.035596997,"[-0.1470169  -0.16970776 -0.02976074 ... -0.15702307 -0.07771417
  0.02104014]"
0.035667185,"[-0.14699191 -0.16965766 -0.02975344 ... -0.15699513 -0.07766657
  0.02109424]"
0.03674039,"[-0.14699826 -0.16963902 -0.0297671  ... -0.1569872  -0.07764795
  0.02111894]"
0.037450325,"[-0.14703935 -0.16965498 -0.02980375 ... -0.1570021  -0.07766201
  0.02111036]"
0.037001554,"[-0.14710777 -0.16970043 -0.02985917 ... -0.15703702 -0.07770398
  0.0210738 ]"
0.035844263,"[-0.14718986 -0.16976233 -0.02992392 ... -0.1570846  -0.07776229
  0.02102174]"
0.035057493,"[-0.14726992 -0.16982356 -0.02998484 ... -0.15713497 -0.07782192
  0.02097   ]"
0.035198793,"[-0.14733458 -0.16986977 -0.03003001 ... -0.15717837 -0.07786852
  0.02093315]"
0.03582887,"[-0.14737412 -0.16989088 -0.03005198 ... -0.15720785 -0.07789248
  0.02092049]"
0.036097094,"[-0.14738569 -0.16988544 -0.03004895 ... -0.15722112 -0.07789161
  0.02093361]"
0.03566283,"[-0.14737618 -0.16986176 -0.03002822 ... -0.1572211  -0.0778714
  0.02096642]"
0.034975775,"[-0.14735489 -0.16983351 -0.02999813 ... -0.1572145  -0.07784285
  0.02100739]"
0.03468314,"[-0.14733575 -0.16981438 -0.02996914 ... -0.15720943 -0.07781864
  0.02104331]"
0.034924347,"[-0.14733261 -0.16981456 -0.02995016 ... -0.15721281 -0.07780919
  0.02106339]"
0.035253827,"[-0.14735362 -0.16983873 -0.0299451  ... -0.15722828 -0.07781971
  0.02106241]"
0.035206154,"[-0.1473991  -0.16988477 -0.02995361 ... -0.15725529 -0.07784895
  0.02104207]"
0.034809455,"[-0.1474622  -0.16994359 -0.02996988 ... -0.15728953 -0.07788994
  0.02101   ]"
0.034478646,"[-0.14753205 -0.1700043  -0.02998563 ... -0.15732437 -0.07793244
  0.02097701]"
0.03449029,"[-0.1475962  -0.17005591 -0.02999293 ... -0.1573531  -0.07796624
  0.02095341]"
0.034697995,"[-0.147646   -0.17009006 -0.02998739 ... -0.15737116 -0.07798447
  0.02094571]"
0.03476278,"[-0.14767829 -0.17010815 -0.02996906 ... -0.15737768 -0.07798574
  0.02095475]"
0.03456862,"[-0.14769378 -0.17011659 -0.02994134 ... -0.15737563 -0.07797435
  0.0209758 ]"
0.034323532,"[-0.14769997 -0.17012392 -0.02991164 ... -0.15737069 -0.07795847
  0.02100045]"
0.034265332,"[-0.14770697 -0.170138   -0.02988595 ... -0.157369   -0.07794708
  0.02101977]"
0.034373134,"[-0.14772516 -0.1701648  -0.02987001 ... -0.15737514 -0.07794689
  0.02102738]"
0.034433544,"[-0.14775905 -0.17020428 -0.02986504 ... -0.15739056 -0.07796031
  0.02102157]"
0.034329753,"[-0.14780562 -0.17025249 -0.02986699 ... -0.15741336 -0.07798499
  0.02100552]"
0.03417138,"[-0.14786053 -0.17030202 -0.02987112 ... -0.15743907 -0.07801502
  0.02098585]"
0.034118786,"[-0.14791669 -0.17034464 -0.02987157 ... -0.15746227 -0.07804327
  0.02096996]"
0.03417642,"[-0.1479609  -0.17037721 -0.02986519 ... -0.15747866 -0.07806397
  0.02096332]"
0.034212336,"[-0.14799324 -0.17039913 -0.02985021 ... -0.1574866  -0.07807478
  0.02096761]"
0.03414651,"[-0.14801824 -0.17041373 -0.02982883 ... -0.15748765 -0.07807738
  0.02098032]"
0.034043647,"[-0.1480337  -0.17042643 -0.02980684 ... -0.15748583 -0.07807646
  0.020996  ]"
0.03400662,"[-0.14804505 -0.17044301 -0.02978879 ... -0.15748596 -0.07807769
  0.02100853]"
0.034037642,"[-0.14806023 -0.17046706 -0.0297793  ... -0.15749174 -0.0780854
  0.02101349]"
0.034050595,"[-0.14808124 -0.17049927 -0.02977872 ... -0.1575045  -0.078101
  0.02100975]"
0.03399877,"[-0.14811125 -0.17053615 -0.02978387 ... -0.15752275 -0.07812265
  0.02099969]"
0.03393197,"[-0.14814426 -0.17057316 -0.02978991 ... -0.157543   -0.07814617
  0.020988  ]"
0.033913027,"[-0.14817514 -0.17060646 -0.02979336 ... -0.15756117 -0.07816684
  0.0209796 ]"
0.03392984,"[-0.14820017 -0.17063385 -0.02979177 ... -0.15757424 -0.07818138
  0.02097769]"
0.033925813,"[-0.14821564 -0.17065343 -0.0297853  ... -0.15758146 -0.07818919
  0.02098254]"
0.033884425,"[-0.14822665 -0.1706668  -0.02977696 ... -0.1575846  -0.07819247
  0.0209916 ]"
0.033845197,"[-0.14823635 -0.17067754 -0.02976945 ... -0.15758693 -0.07819507
  0.02100077]"
0.033838853,"[-0.1482477  -0.17068759 -0.02976545 ... -0.15759192 -0.07820077
  0.02100622]"
0.03384522,"[-0.14826463 -0.17069745 -0.02976554 ... -0.15760164 -0.07821168
  0.02100598]"
0.03383066,"[-0.14829129 -0.17070584 -0.02976686 ... -0.1576161  -0.07822743
  0.02100066]"
0.033798296,"[-0.14832526 -0.17071195 -0.0297675  ... -0.15763338 -0.07824554
  0.02099292]"
0.033776492,"[-0.14836232 -0.17071444 -0.02976574 ... -0.15765063 -0.07826259
  0.02098625]"
0.033774674,"[-0.14839871 -0.1707123  -0.02976012 ... -0.15766543 -0.07827582
  0.02098333]"
0.033771135,"[-0.1484313  -0.17070493 -0.0297504  ... -0.1576768  -0.07828429
  0.02098496]"
0.03375057,"[-0.14846374 -0.17069373 -0.02973954 ... -0.15768561 -0.0782892
  0.02098981]"
0.03372663,"[-0.14849842 -0.1706812  -0.02972964 ... -0.15769401 -0.07829323
  0.02099521]"
0.03371529,"[-0.14853899 -0.17066853 -0.02972257 ... -0.15770435 -0.07829919
  0.02099846]"
0.033711534,"[-0.14858633 -0.17065702 -0.0297192  ... -0.15771799 -0.07830872
  0.02099808]"
0.03370005,"[-0.14863858 -0.17064786 -0.02971916 ... -0.15773472 -0.07832173
  0.02099434]"
0.03368123,"[-0.14869006 -0.17063998 -0.0297204  ... -0.15775295 -0.07833648
  0.020989  ]"
0.03366716,"[-0.14873658 -0.17063232 -0.02972102 ... -0.15777043 -0.07835062
  0.02098441]"
0.033661038,"[-0.14877573 -0.17062405 -0.02972009 ... -0.15778543 -0.07836227
  0.02098231]"
0.0336535,"[-0.14880694 -0.17061536 -0.0297173  ... -0.15779755 -0.07837095
  0.02098309]"
0.033640083,"[-0.14883411 -0.17060697 -0.02971455 ... -0.15780775 -0.07837767
  0.02098567]"
0.033626974,"[-0.14886203 -0.17060038 -0.02971364 ... -0.15781784 -0.0783843
  0.02098821]"
0.033619814,"[-0.14889461 -0.17059606 -0.02971467 ... -0.15782943 -0.07839251
  0.02098906]"
0.03361355,"[-0.14893314 -0.170594   -0.0297177  ... -0.15784322 -0.078403
  0.02098757]"
0.03360297,"[-0.1489764  -0.17059393 -0.02972207 ... -0.15785863 -0.07841519
  0.02098432]"
0.03359091,"[-0.14901333 -0.17059569 -0.02972696 ... -0.15787424 -0.07842761
  0.02098072]"
0.033582658,"[-0.14904721 -0.17059812 -0.02973002 ... -0.15788858 -0.07843871
  0.02097823]"
0.03357659,"[-0.1490762  -0.17059922 -0.02973005 ... -0.15790081 -0.07844768
  0.02097759]"
0.033568222,"[-0.1491006  -0.17059967 -0.02972774 ... -0.15791121 -0.07845479
  0.02097855]"
0.03355852,"[-0.14912146 -0.17059952 -0.02972651 ... -0.15792087 -0.07846113
  0.02098008]"
0.033550873,"[-0.14913985 -0.17059806 -0.02972831 ... -0.15793109 -0.07846802
  0.02098098]"
0.033544984,"[-0.14916173 -0.170596   -0.02973262 ... -0.15794271 -0.0784763
  0.02098055]"
0.03353782,"[-0.14918342 -0.17059295 -0.02973714 ... -0.1579557  -0.07848592
  0.0209789 ]"
0.033529475,"[-0.14920269 -0.1705881  -0.02974093 ... -0.15796927 -0.07849607
  0.02097679]"
0.033522017,"[-0.14921843 -0.17058173 -0.02974251 ... -0.15798235 -0.0785057
  0.02097518]"
0.033515934,"[-0.14923215 -0.17057383 -0.02974281 ... -0.15799429 -0.07851414
  0.02097468]"
0.033509053,"[-0.14924698 -0.17056412 -0.02974184 ... -0.15800513 -0.07852145
  0.02097526]"
